,RCH_DID,MB_NM,시설명,방류량,geometry,인구수,희석배율,C_local,PEC_local
84,1015080901,청평댐,제 1화도,18856.5,POINT (127.34657514127791 37.62975591712608),64050.0,27.35496134326064,0.0046922127795588,0.00017153059442048184
85,3301120501,만경강,익산북부,18628.6,POINT (126.93485327923862 35.984745573689395),45325.0,469.76398333094465,0.003361067579021567,7.154800491917926e-06
86,1101120700,안성천,옥정,18428.3,POINT (127.00779092871846 37.272607330706556),113018.0,2.34777346616473,0.0084719228724954,0.0036084924693926897
87,5003021500,지석천,화순읍,18304.5,POINT (126.94244058208453 35.007730290747915),45485.0,18.875060162123244,0.0034326535880891,0.00018186186208706437
88,5004050200,죽산보,나주,17550.8,POINT (126.69599092539086 34.992526540997),37725.0,1791.1790475456564,0.0029692856578225537,1.6577268821289446e-06
89,3301110800,만경강,삼례,17038.5,POINT (127.05807535265849 35.89834709259907),42330.0,196.22472980740847,0.0034319152870945046,1.74897185001242e-05
90,1022150500,한탄강,연천,16910.5,POINT (127.04719477204979 38.02190109327983),29416.0,679.0346283735912,0.002402961526756119,3.538790845632777e-06
91,2020080700,낙동밀양,진영,16665.6,POINT (128.7424871973406 35.32506401702846),57099.0,13.165727363308008,0.004732898575906307,0.00035948629690575053
92,2011031000,강정고령보,약목,16396.9,POINT (128.3746613104396 36.03719290283228),34720.0,3.867459459502789,0.002925079120664402,0.0007563309069671433
93,1018060200,한강서울,과천,16264.5,POINT (127.00233927810976 37.44620855303994),57423.0,2.6743231677545563,0.0048771353752264796,0.0018236896101533877
94,1019052100,한강고양,통일동산,16229.4,POINT (126.68914624342324 37.75138775906414),30466.0,386.3402335130703,0.002593179757631234,6.712165942570679e-06
95,1019010302,한강고양,삼송,16186.5,POINT (126.87845178499133 37.63901394014427),8392.0,71.16734903498123,0.0007161964647883822,1.0063554066575484e-05
96,1007090200,남한강하류,여주,16145.8,POINT (127.6185157604856 37.29911280470623),48695.0,3.4202526782912637,0.004166241599783276,0.0012181093011714864
97,3009011400,갑천,계룡,15969.2,POINT (127.28084567558757 36.252950844902976),42304.0,2.129370891319668,0.00365946773807139,0.0017185675604889344
98,1101180400,안성천,현덕,15415.0,POINT (126.93044490613079 36.94094983028109),46617.0,2.8428922980605744,0.004177538314306422,0.0014694676675427855
99,1015080901,청평댐,제 2화도,15245.8,POINT (127.34657514127791 37.62975591712608),45579.0,33.83350355961604,0.004129849483942377,0.00012206390262437382
100,3008030301,대청댐,옥천,15132.3,POINT (127.55037663802145 36.32310832021727),31942.0,8.493090937927478,0.002915928106545656,0.00034332943422565225
101,1022080100,한탄강,소흘,15068.3,POINT (127.15488233726884 37.83024167857902),45377.0,19.212221659954047,0.004159979316529488,0.00021652775978535312
